ID,Integration Name,Description,Source System,Source Conn,Target System,Target Conn,Business Owner,IT Owner
1,Umo Sales,this is a description,UMO,API,EFAT Raw Data,CSV File,Gwen Summers,Sam Jobim
2,Umo Fare,,UMO,API,EFAT Raw Data,CSV File,Gwen Summers,Sam Jobim
3,Moneris,,Moneris,API,EFAT Raw Data,CSV File,Gwen Summers,Sam Jobim
4,GL File,,Synapse Warehouse,Database,Finance,CSV File,Gwen Summers,Sam Jobim
5,AR File,,Synapse Warehouse,Database,Finance,CSV File,Gwen Summers,Sam Jobim
6,EFAT RAW - Synapse,,EFAT Raw Data,CSV File,Synapse Warehouse,Database,Gwen Summers,Sam Jobim
7,EFAT RAW - Fabric,,EFAT Raw Data,CSV File,Lakehouse,Lakehouse,Gwen Summers,Sam Jobim
8,Revenue Data,,Lakehouse,Lakehouse,PowerBI,Report,Kyle Bowman,Sam Jobim
9,Finance to JDE,,Finance,CSV File,JDE,Manual Integration,Gwen Summers,Sam Jobim
10,Consat Data,"From: Consat
To: Azure Account",CONSAT,API,CONSAT Raw Data,CSV File," Valeza, Jon",Sam Jobim
11,Consat Raw to Lakehouse,"From: Azure Account
To: Lakehouse",CONSAT Raw Data,CSV File,Lakehouse,Lakehouse," Valeza, Jon",Sam Jobim
12,Ridership Report,"From: Lakehouse
To Report",Lakehouse,Lakehouse,PowerBI,Report," Valeza, Jon",Sam Jobim
13,Dilax Data,,Dilax,API,Dilax Raw Data,CSV File," Valeza, Jon",Sam Jobim
14,Dilax Raw to Lakehouse,,Dilax Raw Data,CSV File,Lakehouse,Lakehouse," Valeza, Jon",Sam Jobim
15,hastus - lAKEHOUSE,DFTARTADFASD,Hastus,CSV File,Lakehouse,Lakehouse,Kyle Bowman,Sam Jobim
16,AR File to JDE,Gwen's team change the AR File and send data to us.,Finance,CSV File,Operational Process,CSV File,Gwen Summers,Sam Jobim
17,Propass File,Propass Data,Operational Process,CSV File,JDE,Manual Integration,Gwen Summers,Sam Jobim
